,country,article_name,revision_id,article_quality,population
33,Algeria,Khalida Toumi,770282657,Start,42.7
34,Algeria,Lyès Deriche,771832169,Start,42.7
35,Algeria,Djilali Mehri,772651059,Stub,42.7
36,Algeria,Mouloud Kacem Naît Belkacem,774806785,Stub,42.7
37,Algeria,Boualem Bessaïh,776740910,Start,42.7
38,Algeria,Bakhti Belaïb,776925770,Stub,42.7
39,Algeria,Karim Djoudi,778326830,Stub,42.7
40,Algeria,Nadia Boubeghla,779427583,Stub,42.7
41,Algeria,Zahra Dardouri,779427783,Stub,42.7
42,Algeria,Nouria Yamina Zerhouni,779427849,Stub,42.7
43,Algeria,Abdelkader Hachani,780207199,Start,42.7
44,Algeria,Belaid Abdessalam,780658360,Stub,42.7
45,Algeria,Smail Hamdani,780665054,Start,42.7
46,Algeria,Mouloud Hamrouche,780680919,Stub,42.7
47,Algeria,Ahmed Benbitour,782105275,Stub,42.7
48,Algeria,Abdennour Abrous,782192657,Stub,42.7
49,Algeria,Azzedine Mihoubi,784420611,Start,42.7
50,Algeria,Nouara Saadia,785156476,Stub,42.7
51,Algeria,Abane Ramdane,785742807,Stub,42.7
52,Algeria,Saïd Sadi,787911144,Start,42.7
53,Algeria,Fatiha Serour,787988818,Stub,42.7
54,Algeria,Leila Zerrougui,788010268,Start,42.7
55,Algeria,Mourad Benmehidi,788018992,Start,42.7
56,Algeria,Said Boualam,788254131,Start,42.7
57,Algeria,Kasdi Merbah,788299558,Start,42.7
58,Algeria,Ferhat Mehenni,788458570,Start,42.7
59,Algeria,Amar Ghoul,788748788,Stub,42.7
60,Algeria,Mohamed Khider,788827246,Start,42.7
61,Algeria,Jacques Chevallier,791039747,Start,42.7
62,Algeria,List of mayors of Oran,791295370,Start,42.7
63,Algeria,List of mayors of Algiers,791312936,Stub,42.7
64,Algeria,Mohamed Belouizdad,791704982,Stub,42.7
65,Algeria,Krim Belkacem,793167978,Start,42.7
66,Algeria,Zohra Drif,793588934,Start,42.7
67,Algeria,Abdallah Djaballah,793718332,Stub,42.7
68,Algeria,Benyoucef Benkhedda,794381535,B,42.7
69,Algeria,Benaouda Hadj Hacène Bachterzi,794404263,Stub,42.7
70,Algeria,Bouguerra Soltani,794692299,Stub,42.7
71,Algeria,Ibrahim Bey,795485624,Start,42.7
72,Algeria,List of beys of Constantine  Algeria,795485627,Start,42.7
73,Algeria,Houda-Imane Faraoun,796300546,Start,42.7
74,Algeria,List of Ottoman governors of Algiers,796315940,Start,42.7
75,Algeria,Said Djinnit,796386574,Start,42.7
76,Algeria,Ramtane Lamamra,796388361,Start,42.7
77,Algeria,Mohamed Khemisti,796407786,Stub,42.7
78,Algeria,Boudina Mostefa,796600973,Stub,42.7
79,Algeria,Chara Bachir,796608168,Stub,42.7
80,Algeria,Draoui Mohamed,796627766,Stub,42.7
81,Algeria,Kara Baya,796666436,Stub,42.7
82,Algeria,Mokdad Sifi,796669862,Stub,42.7
83,Algeria,Abderrahmane Benkhalfa,796929637,Stub,42.7
84,Algeria,Ali Kafi,796945473,Start,42.7
85,Algeria,Abdeslam Bouchouareb,797037799,Stub,42.7
86,Algeria,Lakhdar Brahimi,797172347,C,42.7
87,Algeria,Mohammed Saleh Bendjelloul,797399413,Stub,42.7
88,Algeria,Chadli Bendjedid,797986413,C,42.7
89,Algeria,Zuhur Wanasi,798667851,Start,42.7
90,Algeria,President of Algeria,799290487,C,42.7
91,Algeria,Ahmed Ouyahia,799959233,GA,42.7
92,Algeria,Abdelmalek Sellal,799959652,Start,42.7
93,Algeria,Farida Haddouche,800042876,Stub,42.7
94,Algeria,Ali Haroun,800725058,Stub,42.7
95,Algeria,Lakhdar Ben Tobbal,800725950,Start,42.7
96,Algeria,Abdelhamid Brahimi,800726457,Stub,42.7
97,Algeria,Abdelaziz Bouteflika,801180489,C,42.7
98,Algeria,Louisa Hanoune,801466524,C,42.7
99,Algeria,Abdelmadjid Tebboune,801607196,Start,42.7
100,Algeria,Hayreddin Barbarossa,802441492,C,42.7
101,Algeria,Ahmed Bey ben Mohamed Chérif,802519267,Start,42.7
102,Algeria,Liamine Zéroual,802574873,Start,42.7
103,Algeria,Emir Abdelkader,803016375,B,42.7
104,Algeria,Hocine Aït Ahmed,803291657,Start,42.7
105,Algeria,Ahmed Ben Bella,803965612,C,42.7
106,Algeria,Lalla Fatma N'Soumer,804073508,Start,42.7
107,Algeria,Mahfoud Nahnah,804142444,Start,42.7
108,Algeria,Amar Abba,804372706,Stub,42.7
109,Algeria,Redha Malek,804696553,Start,42.7
110,Algeria,Sid Ahmed Ghozali,804905610,Stub,42.7
111,Algeria,Mohamed Seghir Boushaki,805107344,GA,42.7
112,Algeria,Abdelmalek Benhabyles,805427697,Stub,42.7
113,Algeria,Nouria Benghabrit-Remaoun,805484867,Stub,42.7
114,Algeria,Mohamed Deriche,805618028,C,42.7
115,Algeria,Cheikh Mokrani,806013558,Start,42.7
116,Algeria,Ferhat Abbas,806762937,C,42.7
117,Algeria,Houari Boumédiène,806763023,C,42.7
118,Algeria,Maurice Laban,807321345,Stub,42.7
119,Egypt,List of Grand Viziers of Egypt,442937236,Stub,97.0
120,Egypt,Template:Egypt-politician-stub,561071682,Stub,97.0
121,Egypt,Neferkheperu-her-sekheper,657176628,Start,97.0
122,Egypt,Qandil Cabinet,687093229,C,97.0
123,Egypt,Mohamed Kamel Leilah,700864508,Stub,97.0
124,Egypt,Khaled Dawoud,701871912,Stub,97.0
125,Egypt,Ihab el-Sherif,705264062,Start,97.0
126,Egypt,Ali El-Sayed Ali Al-Moselhi,710831684,Stub,97.0
127,Egypt,Ismail El-Gawsaqi,712237399,Stub,97.0
128,Egypt,Ali Maher (diplomat),712566011,Stub,97.0
129,Egypt,Umar al-Tilmisani,714741437,Start,97.0
130,Egypt,Mustafa Mashhur,714806189,Stub,97.0
131,Egypt,Yousry Saber Hussein El-Gamal,715206646,Stub,97.0
132,Egypt,Hany Mahfouz Helal,715947683,Stub,97.0
133,Egypt,Mohammed Habib,716599243,Stub,97.0
134,Egypt,Mamdouh Hosny Khalil,717534881,Stub,97.0
135,Egypt,Mohamed Abdul Salam Mahgoub,719039652,Stub,97.0
136,Egypt,Samir El-Sayiad,719704569,Stub,97.0
137,Egypt,Maged George Elias Ghattas,719742040,Start,97.0
138,Egypt,Stephan Bassily,720605479,Start,97.0
139,Egypt,Mohamed Youssef Ibrahim,720939610,Start,97.0
140,Egypt,Mahmoud al-Saqa,721188244,Stub,97.0
141,Egypt,Mohammed Murad Ghaleb,721302683,Stub,97.0
142,Egypt,George Messiha,722226891,Stub,97.0
143,Egypt,Yasser Ali,722340898,Stub,97.0
144,Egypt,Mohamed Mahsoub,722586870,Start,97.0
145,Egypt,Sayed Meshaal,723347465,Stub,97.0
146,Egypt,Nabil Na'eem,723487099,Start,97.0
147,Egypt,Ali Ibrahim Pasha,723820329,Stub,97.0
148,Egypt,Sherif Sabri Pasha,726072363,Stub,97.0
149,Egypt,Ali Pasha Mubarak,728507832,B,97.0
150,Egypt,Mohammed Ragab Ahmad,734122106,Stub,97.0
151,Egypt,List of governors of Islamic Egypt,735405745,B,97.0
152,Egypt,Sufi Abu Taleb,735739446,C,97.0
153,Egypt,Abdel Ahad Gamal El Din,737848237,Stub,97.0
154,Egypt,Mohamed M. Abou El Enein,738586711,C,97.0
155,Egypt,Diaa al-Din Dawoud,741240565,C,97.0
156,Egypt,Abbas Halim,743531941,Start,97.0
157,Egypt,Abdel Wahab el-Beshry,744730085,Stub,97.0
158,Egypt,Joseph de Picciotto Bey,745489352,Stub,97.0
159,Egypt,Mohamed Sedki Sulayman,745711737,Stub,97.0
160,Egypt,Abdel Fattah Yahya Pasha,745837038,Stub,97.0
161,Egypt,Mahmoud Karem,745915558,0,97.0
162,Egypt,Talaat Sadat,746372924,Start,97.0
163,Egypt,Muttalib ibn Abdallah ibn Malik,747063138,Stub,97.0
164,Egypt,Muhammad Ali Alluba,747594950,Stub,97.0
165,Egypt,Galal Saeed,750721973,Stub,97.0
166,Egypt,Numan Gumaa,750722991,Stub,97.0
167,Egypt,Yehia El-Gamal,751177057,Start,97.0
168,Egypt,Ahmad Fathy Zaghlul,751451387,Start,97.0
169,Egypt,Muhammad Hassanein,751568055,Stub,97.0
170,Egypt,Template:Presidents of Egypt,752154648,Stub,97.0
171,Egypt,Hossam Badrawi,755398667,C,97.0
172,Egypt,Emad Abdel Ghaffour,756307494,Stub,97.0
173,Egypt,Farkhonda Hassan,757292312,Start,97.0
174,Egypt,Hussein el-Shafei,761525136,Start,97.0
175,Egypt,Mohamed Abu Samra,762300867,Stub,97.0
176,Egypt,Salah Dessouki,762369795,Start,97.0
177,Egypt,Mokhtar Khattab,764016726,Stub,97.0
178,Egypt,Rifaat el-Mahgoub,765023750,Start,97.0
179,Egypt,Mohamed Mahmoud Pasha,765119973,Stub,97.0
180,Egypt,Mohammed Hassan El-Zayyat,765965988,Stub,97.0
181,Egypt,Hassan Tuhami,767190897,Start,97.0
182,Egypt,Galal al-Morra,767649266,Stub,97.0
183,Egypt,Lists of rulers of Egypt,770980198,Stub,97.0
184,Egypt,Heshmat Fahmi,773331743,Stub,97.0
185,Egypt,Mustafa El-Rifai,773751017,Start,97.0
186,Egypt,Khaled Negm,774023957,0,97.0
187,Egypt,Abdel Hakim Amer,774467673,C,97.0
188,Egypt,Ibrahim Munir Mustafa,774472166,C,97.0
189,Egypt,Mohamed Sherif Pasha,777595254,Start,97.0
190,Egypt,Aly Maher Pasha,777702366,Stub,97.0
191,Egypt,Atef Sedky,777704347,Start,97.0
192,Egypt,Amani Asfour,779428183,Start,97.0
193,Egypt,Aisha Rateb,779819055,C,97.0
194,Egypt,Hassan al-Hudaybi,780427389,C,97.0
195,Egypt,Abdelfattah al-Banna,780493806,Stub,97.0
196,Egypt,Ahmed Naguib el-Hilaly,782105531,Start,97.0
197,Egypt,Mahmoud Abo El-Nasr,782988569,Start,97.0
198,Egypt,Mohamed Fawzi (general),783760275,C,97.0
199,Egypt,Mahmoud Abdel Rahman Fahmy,784503020,Start,97.0
200,Egypt,Hafez Abu Seada,785327208,Start,97.0
201,Egypt,Mohamed Ismail,786115968,C,97.0
202,Egypt,Hassan Ibrahim,786745161,Start,97.0
203,Egypt,Ma'mun al-Hudaybi,786991557,Stub,97.0
204,Egypt,Abdel Latif Boghdadi (politician),787386105,B,97.0
205,Egypt,Abdel Moneim Amin,787386310,Stub,97.0
206,Egypt,Abu Al-Izz Al-Hariri,787460680,Stub,97.0
207,Egypt,Ahmed El-Leithy,787913632,Stub,97.0
208,Egypt,Ahmed Zaki Badreldin,787919367,Stub,97.0
209,Egypt,Ahmed El Maghrabi,788271050,Start,97.0
210,Egypt,Mahmoud Mekki,788461897,C,97.0
211,Egypt,Mansour Hassan,788463189,Start,97.0
212,Egypt,Sherif Kamal Shahine,788538311,Stub,97.0
213,Egypt,Tarek al-Zumar,788556635,Stub,97.0
214,Egypt,Adel Abdel-Hamid,788963873,Stub,97.0
215,Egypt,Hussein Serry Pasha,789081956,Stub,97.0
216,Egypt,Ibrahim Abdel Hady Pasha,789082303,Stub,97.0
217,Egypt,Mamdouh Salem,789082718,Stub,97.0
218,Egypt,Rawya Ateya,790526524,C,97.0
219,Egypt,Mustafa Khalil,791507333,Start,97.0
220,Egypt,Suzanne Mubarak,792037116,GA,97.0
221,Egypt,Ahmed Zeiwar Pasha,792780958,Stub,97.0
222,Egypt,Sameh Shoukry,793707954,Start,97.0
223,Egypt,List of heads of state of Egypt,793838540,Start,97.0
224,Egypt,Ziad Bahaa-Eldin,793963147,Start,97.0
225,Egypt,Shadi Taha,794712699,Start,97.0
226,Egypt,Inji Aflatoun,795000966,C,97.0
227,Egypt,Omar Sharaf,795726468,FA,97.0
228,Egypt,List of Presidents of Egypt by time in office,795799070,Start,97.0
229,Egypt,Adel Labib,795958655,Stub,97.0
230,Egypt,Ibrahim Mahlab,796090115,Start,97.0
231,Egypt,Gameela Ismail,796116453,C,97.0
232,Egypt,Shawar of Egypt,796215075,C,97.0
233,Egypt,Ahmed Gamal El Din,796606969,C,97.0
234,Egypt,Abdel Moneim El Shahat,796929618,Stub,97.0
235,Egypt,Aly Lotfy Mahmoud,796954945,Stub,97.0
236,Egypt,Ahmad Fuad Mohieddin,796973935,Stub,97.0
237,Egypt,Bassem Ouda,797040401,Start,97.0
238,Egypt,First Lady of Egypt,797479352,Stub,97.0
239,Egypt,Mohamed Said Pasha,797632929,Stub,97.0
240,Egypt,Hazem Salah Abu Ismail,797822421,Start,97.0
241,Egypt,Mustafa Mansour,797939054,Start,97.0
242,Egypt,Kamal el-Din Hussein,798490704,Start,97.0
243,Egypt,Mohamed Mansour (businessman),799022387,Start,97.0
244,Egypt,Mohamed Soudan,799022586,C,97.0
245,Egypt,Nabil Elaraby,799071966,C,97.0
246,Egypt,Youssef Zulficar Pasha,799236302,C,97.0
247,Egypt,Nasser al-Hafi,799976520,Stub,97.0
248,Egypt,Mostafa Alnagar,800203594,C,97.0
249,Egypt,Maged A. Abdelaziz,800291943,Stub,97.0
250,Egypt,Safiya Zaghloul,800578412,Start,97.0
251,Egypt,Mahmoud El Nokrashy Pasha,800640676,C,97.0
252,Egypt,Adly Mansour,800657898,C,97.0
253,Egypt,Nawal El Saadawi,800663044,C,97.0
254,Egypt,Mahmoud Fawzi,800754887,Start,97.0
255,Egypt,Fouad Serageddin,800800878,Start,97.0
256,Egypt,Muhammad Husayn Haykal,800959966,Start,97.0
257,Egypt,Al-Fa'iz bi-Nasr Allah,800967250,Stub,97.0
258,Egypt,Abdel Khalek Sarwat Pasha,801235112,Stub,97.0
259,Egypt,Adly Yakan Pasha,801235162,Stub,97.0
260,Egypt,Hussein Roshdy Pasha,801235222,Stub,97.0
261,Egypt,Fakhri 'Abd al-Nur,801629851,Stub,97.0
262,Egypt,Makram Ebeid,801631053,Start,97.0
263,Egypt,Eva Habil,801632430,Stub,97.0
264,Egypt,Georgette Kellini,801633022,Stub,97.0
265,Egypt,Laila Takla,801634105,Start,97.0
266,Egypt,Moheb Stino,801634338,Stub,97.0
267,Egypt,Mounir Fakhry Abdel Nour,801635822,Start,97.0
268,Egypt,Mohammad Farid,801724087,Start,97.0
269,Egypt,Ahmad Mazlum,801731274,Start,97.0
270,Egypt,Jehan Sadat,801883534,Start,97.0
271,Egypt,Muhammad Hamid Abu al-Nasr,801983965,Stub,97.0
272,Egypt,Moataz Abdel-Fattah,802090659,Start,97.0
273,Egypt,Wahid Abdel Meguid,802090661,Start,97.0
274,Egypt,Bahaa El-Din Abu Shoka,802090665,Start,97.0
275,Egypt,Mohammad Salim Al-Awa,802090668,Stub,97.0
276,Egypt,Khaled Azhari,802090671,Start,97.0
277,Egypt,El-Sayyid el-Badawi,802090674,Stub,97.0
278,Egypt,Mohamed Beltagy,802090676,Start,97.0
279,Egypt,Mohammed Ali Beshr,802090680,C,97.0
280,Egypt,Essam el-Erian,802090683,Start,97.0
281,Egypt,Farouk Gouida,802090686,Stub,97.0
282,Egypt,Saad El-Katatni,802090692,C,97.0
283,Egypt,Abou Elela Mady,802090695,Stub,97.0
284,Egypt,Younes Makhioun,802090700,Start,97.0
285,Egypt,Mohamed El-Sawy,802090709,Stub,97.0
286,Egypt,Manar El-Shorbagy,802090711,Stub,97.0
287,Egypt,Osama Yassin,802090719,Start,97.0
288,Egypt,Mamdouh Shahin,802090766,Stub,97.0
289,Egypt,Timeline of the Egyptian Crisis under Mohamed Morsi,802091005,B,97.0
290,Egypt,Mohamed Abou El-Ghar,802091021,Stub,97.0
291,Egypt,Zakaria Azmi,802091037,Start,97.0
292,Egypt,Maher El-Beheiry,802091062,Stub,97.0
293,Egypt,Mansour el-Essawy,802091102,C,97.0
294,Egypt,Rafik Habib,802091126,Start,97.0
295,Egypt,Amr Hamzawy,802091130,C,97.0
296,Egypt,Bothaina Kamel,802091158,Start,97.0
297,Egypt,Haitham Mohamedain,802091196,Start,97.0
298,Egypt,Sameh Naguib,802091230,Start,97.0
299,Egypt,Ayman Nour,802091238,C,97.0
300,Egypt,Samir Radwan,802091248,Start,97.0
301,Egypt,Hala Shukrallah,802091322,Stub,97.0
302,Egypt,Subhi Saleh,802091327,Stub,97.0
303,Egypt,Omar Suleiman,802091334,B,97.0
304,Egypt,Farouk Sultan,802091337,Stub,97.0
305,Egypt,Mahmoud Wagdy,802091340,Stub,97.0
306,Egypt,Mohammed Mahdi Akef,802205975,C,97.0
307,Egypt,Mahmoud Samy El Baroudy,802441493,Stub,97.0
308,Egypt,Yasser Shamsaldin Mohamad,802496070,C,97.0
309,Egypt,Nur al-Din Kahala,802670925,Stub,97.0
310,Egypt,Ahmed Shafik,802672219,C,97.0
311,Egypt,Akhnoukh Fanous,802718005,Start,97.0
312,Egypt,Yousef Wali,803119591,Start,97.0
313,Egypt,Zakaria Mohieddin,803225667,C,97.0
314,Egypt,Ahmad Mahir Pasha,803476894,Stub,97.0
315,Egypt,Ahmed El-Zend,803517166,Stub,97.0
316,Egypt,2013 Egyptian coup d'état,803566873,B,97.0
317,Egypt,Ahmed Gamal El Segini,803826668,Start,97.0
318,Egypt,Ester Fanous,803910324,Start,97.0
319,Egypt,President of Egypt,804069247,C,97.0
320,Egypt,Anwar Sadat,804113674,FA,97.0
321,Egypt,Ali Sabri,804347277,Start,97.0
322,Egypt,Hamdeen Sabahi,804394080,C,97.0
323,Egypt,Abdel Hamid al-Sarraj,804431358,B,97.0
324,Egypt,Bahey El Din Barakat Pasha,804446108,Start,97.0
325,Egypt,Abdel Moneim Aboul Fotouh,804452679,Start,97.0
326,Egypt,Khaled Ali,804452902,FA,97.0
327,Egypt,Ashraf El-Shihy,804502345,C,97.0
328,Egypt,Moushira Khattab,804677238,C,97.0
329,Egypt,Gawdat al-Malt,804928298,Stub,97.0
330,Egypt,Osama El-Baz,804930404,Start,97.0
331,Egypt,Hosni Mubarak,805037992,FA,97.0
332,Egypt,Doria Shafik,805186352,C,97.0
333,Egypt,George Isaac (politician),805199785,Start,97.0
334,Egypt,Muhammad Ibrahim Kamel,805359485,Stub,97.0
335,Egypt,Mohammed Badie,805749818,C,97.0
336,Egypt,Mohamed Tawfik Naseem Pasha,805782037,Stub,97.0
337,Egypt,Hassan al-Banna,805797802,C,97.0
338,Egypt,Gamal Abdel Nasser,805918753,FA,97.0
339,Egypt,Amin Iskander,805930229,Start,97.0
340,Egypt,Sayyid Qutb,805952910,B,97.0
341,Egypt,Mohamed Morsi,806365281,B,97.0
342,Egypt,Mohammed Naguib,806372496,C,97.0
343,Egypt,List of Presidents of Egypt,806372528,C,97.0
344,Egypt,Vice-President of Egypt,806377438,C,97.0
345,Egypt,Mahmoud Abouelleil,806425332,Start,97.0
346,Egypt,Boutros Ghali,806544076,C,97.0
347,Egypt,Abdel Fattah el-Sisi,806779104,FA,97.0
348,Egypt,Naglaa Mahmoud,806807487,Stub,97.0
349,Egypt,Abbud Pasha,807107456,Start,97.0
350,Egypt,Mohamed Hussein Tantawi,807163792,GA,97.0
351,Egypt,Amr Moussa,807186627,C,97.0
352,Egypt,Anas el-Fiqqi,807229980,Stub,97.0
353,Egypt,Hillel Schwartz,807322896,Stub,97.0
354,Egypt,Amr Ali (youth leader),807407242,Stub,97.0
355,Egypt,Mohammed Adel (youth leader),807407556,C,97.0
356,Egypt,Ahmed Maher (youth leader),807407729,C,97.0
357,Egypt,Saba Habachy,807450050,Start,97.0
358,Libya,Template:Libya-politician-stub,561074815,Stub,6.5
359,Libya,Bashir Saadawi,691346630,Stub,6.5
360,Libya,Ragab Muftah Abudabus,706348474,Stub,6.5
361,Libya,Muhammad Ahmad al-Mangoush,709720053,Stub,6.5
362,Libya,Abdul Majid al-Qa′ud,709720196,Stub,6.5
363,Libya,Abdul Qadir al-Badri,709766577,Stub,6.5
364,Libya,Muhammad Sakizli,709875829,Start,6.5
365,Libya,Salih Rajab al-Mismari,712510932,Stub,6.5
366,Libya,Miftah Muhammed K'eba,713800595,Stub,6.5
367,Libya,Mohamed Abulas’ad El-Alem,719653188,Stub,6.5
368,Libya,Mohamed Al-Muntasir,720477132,Stub,6.5
369,Libya,Omar Shegewi,723570860,Stub,6.5
370,Libya,Ali Sahli,726965047,Start,6.5
371,Libya,Abdulla Edriss Ebrahim,735370690,Stub,6.5
372,Libya,Amal Nuri Safar,738118171,Stub,6.5
373,Libya,Abdul Razzaq as-Sawsa,738482818,Stub,6.5
374,Libya,Bashir al-Rabiti,744272507,Start,6.5
375,Libya,Mifta al-Usta Umar,747056652,Stub,6.5
376,Libya,Mohammed Ali Salim,747192414,Stub,6.5
377,Libya,Abu Oweis,749354367,Stub,6.5
378,Libya,Hisham Ben Ghalbon,754815454,C,6.5
379,Libya,Huda Ben Amer,755305575,Start,6.5
380,Libya,Khaled Kaim,755320166,Stub,6.5
381,Libya,Salwa El-Deghali,757616983,Start,6.5
382,Libya,Taha El Sherif Ben Amer,761069990,Stub,6.5
383,Libya,Fawzi Abdel A'al,761170393,Stub,6.5
384,Libya,Al-Aref al-Khoga,761170861,Stub,6.5
385,Libya,Mansour Dhao,767690287,Stub,6.5
386,Libya,Mahmud al-Muntasir,768045201,Start,6.5
387,Libya,Hussein Maziq,768045226,C,6.5
388,Libya,Ibrahim Jadhran,770108339,Start,6.5
389,Libya,Hussein Sadiq al Musrati,772424694,Stub,6.5
390,Libya,Mohammed Magariaf,775296202,C,6.5
391,Libya,Isa Tuwaijir,778066680,Stub,6.5
392,Libya,Nagia Essayed,779744403,Stub,6.5
393,Libya,Imbarek Shamekh,781303411,Start,6.5
394,Libya,Ashour Suleiman Shuwail,781776934,Start,6.5
395,Libya,Sadiq Abdulkarim Abdulrahman,781898903,Start,6.5
396,Libya,Abdul Salam al-Buseiri,781990525,Stub,6.5
397,Libya,Umar Mustafa al-Muntasir,784805072,Stub,6.5
398,Libya,Yousef Mangoush,784971583,Stub,6.5
399,Libya,Hamdi Faraj Fanoush,785352141,Stub,6.5
400,Libya,Ahmad Bishti,785582155,Stub,6.5
401,Libya,Abu Bakr Baira,785889190,Start,6.5
402,Libya,Abdel Wahab Qaid,787386598,Start,6.5
403,Libya,Abdul Rahman Habil,787400698,Stub,6.5
404,Libya,Abdul Rahman Kamudi,787400763,Stub,6.5
405,Libya,El Waer Hakim,787658532,Start,6.5
406,Libya,Abdussalam Sergiwa,787914218,Stub,6.5
407,Libya,Abdulbari Al Arusi,788267111,Start,6.5
408,Libya,Ali Ashour,788275167,Stub,6.5
409,Libya,Hamza Abu Faris,788399266,Start,6.5
410,Libya,Abdullah Naker,788419128,Stub,6.5
411,Libya,Ali Abd-al-Aziz al-Isawi,788467016,Start,6.5
412,Libya,Mohamed Abu al-Qasim al-Zwai,788474662,Stub,6.5
413,Libya,Mustafa Rugibani,788478147,Stub,6.5
414,Libya,Omar al-Hassi,788491832,Start,6.5
415,Libya,Fariha al-Berkawi,788591692,Start,6.5
416,Libya,Usama Siala,788701001,Start,6.5
417,Libya,Ahmed Rafiq Almhadoui,789271261,Stub,6.5
418,Libya,Anwar Fituri,789508170,Stub,6.5
419,Libya,Mohamed Ben Ghalbon,794211790,C,6.5
420,Libya,Abdullah Senussi,794233552,C,6.5
421,Libya,Mustafa Abdul Jalil,794505172,C,6.5
422,Libya,Yousaf Borahil Al-Msmare,795842463,Stub,6.5
423,Libya,Ehtuish Ehtuish,795937810,Start,6.5
424,Libya,Ahmed Al-Abbar,796185715,Stub,6.5
425,Libya,Ashour Bourashed,796614256,Stub,6.5
426,Libya,Mohammed el-Hadhiri,796696444,Stub,6.5
427,Libya,Mustafa Tajouri,796703955,Stub,6.5
428,Libya,Abdurrahim El-Keib,796886195,C,6.5
429,Libya,Muhammad az-Zanati,796890077,Stub,6.5
430,Libya,Awad al-Baraasi,797020109,Stub,6.5
431,Libya,Abdullah Al-Mayhoub,797668780,Stub,6.5
432,Libya,Mansour Mohamed El-Kikhia,798048206,Stub,6.5
433,Libya,Ihab Al-Mismari,798288804,Stub,6.5
434,Libya,Mohamed Taha Siala,798910928,Start,6.5
435,Libya,Wahbi al-Bouri,798997387,Start,6.5
436,Libya,Abuzed Omar Dorda,798997736,Stub,6.5
437,Libya,Omar El-Hariri,799342493,Start,6.5
438,Libya,Wanis al-Qaddafi,799386887,Stub,6.5
439,Libya,Hasan Zaglam,799496543,Stub,6.5
440,Libya,Abdullah al-Thani,799690270,Start,6.5
441,Libya,Nouri Abusahmain,799690657,Start,6.5
442,Libya,Abdul Majid Kubar,799802326,Stub,6.5
443,Libya,Aguila Saleh Issa,799804694,Stub,6.5
444,Libya,Musa Al-Koni,800291959,Stub,6.5
445,Libya,Abdul Hafiz Ghoga,801364319,Start,6.5
446,Libya,Ahmed al-Senussi,801367306,Start,6.5
447,Libya,Abdul Ati al-Obeidi,802350946,Start,6.5
448,Libya,Muhammad az-Zaruq Rajab,802355738,Stub,6.5
449,Libya,Abd-Rabbo al-Barassi,802722672,Stub,6.5
450,Libya,Izzat Yousef Al-Maqrif,802723671,Start,6.5
451,Libya,Fathi Baja,802832934,Start,6.5
452,Libya,Fatima Hamroush,802835977,C,6.5
453,Libya,Sulayman al-Baruni,803170419,Start,6.5
454,Libya,Uthman Megrahi,803371432,Stub,6.5
455,Libya,Aref Ali Nayed,803870165,C,6.5
456,Libya,Mohammed El Senussi,804066562,GA,6.5
457,Libya,Abdulrahman Sewehli,804967905,Stub,6.5
458,Libya,List of heads of state of Libya,805431705,Start,6.5
459,Libya,Giuma Ahmed Atigha,805855991,Stub,6.5
460,Libya,Ahmed Maiteeq,805938059,C,6.5
461,Libya,Muhammad Osman Said,805967469,Stub,6.5
462,Libya,Idris of Libya,806317468,C,6.5
463,Libya,Khalifa al-Ghawil,806474260,Start,6.5
464,Libya,Muhammad Gaddafi,806757059,Start,6.5
